@relation 'hw4TrainData'

@attribute abstract_col string
@attribute domain_col {Computer-Science,Breast-Cancer,Aircraft}

@data
"While the underrepresentation of women in the fast-growing STEM field of computer science (CS) has been much studied, no consensus exists on the key factors influencing this widening gender gap. Possible suspects include gender differences in aptitude, interest, and academic environment. Our study contributes to this literature by applying student engagement research to study the experiences of college students studying CS, to assess the degree to which differences in men and women's engagement may help account for gender inequity in the field. Specifically, we use the Experience Sampling Method (ESM) to evaluate in real-time the engagement of college students during varied activities and environments. Over the course of a full week in fall semester and a full week in spring semester, 165 students majoring in CS at two Research I universities were beeped several times a day via a smartphone app prompting them to fill out a short questionnaire including open-ended and scaled items. These responses were paired with administrative and over 2 years of transcript data provided by their institutions. We used mean comparisons and logistic regression analysis to compare enrollment and persistence patterns among CS men and women. Results suggest that despite the obstacles associated with women's underrepresentation in computer science, women are more likely to continue taking computer science courses when they felt challenged and skilled in their initial computer science classes. We discuss implications for further research.",Computer-Science
'The requirement of employability in the job market prompted universities to conduct internship training as part of their study plans. There is a need to train students on important academic and professional skills related to the workplace with an IT component. This article describes a statistical study that measures satisfaction levels among students in the faculty of Information Technology and Computer Science in Jordan. The objective of this study is to explore factors that influence student satisfaction with regards to enrolling in an internship training program. The study was conducted to gather student perceptions, opinions, preferences and satisfaction levels related to the program. Data were collected via a mixed method survey (surveys and interviews) from student-respondents. The survey collects demographic and background information from students, including their perception of faculty performance in the training poised to prepare them for the job market. Findings from this study show that students expect internship training to improve their professional and personal skills as well as to increase their workplace-related satisfaction. It is concluded that improving the internship training is crucial among the students as it is expected to enrich their experiences, knowledge and skills in the personal and professional life. It is also expected to increase their level of confidence when it comes to exploring their future job opportunities in the Jordanian market.',Computer-Science
'We suggest that in the framework of the Category Theory it is possible to demonstrate the mathematical and logical dual equivalence between the category of the q-deformed Hopf Coalgebras and the category of the q-deformed Hopf Algebras in quantum field theory (QFT), interpreted as a thermal field theory. Each pair algebra-coalgebra characterizes a QFT system and its mirroring thermal bath, respectively, so to model dissipative quantum systems in far-from-equilibrium conditions, with an evident significance also for biological sciences. Our study is in fact inspired by applications to neuroscience where the brain memory capacity, for instance, has been modeled by using the QFT unitarily inequivalent representations. The q-deformed Hopf Coalgebras and the q-deformed Hopf Algebras constitute two dual categories because characterized by the same functor T, related with the Bogoliubov transform, and by its contravariant application Top, respectively. The q-deformation parameter is related to the Bogoliubov angle, and it is effectively a thermal parameter. Therefore, the different values of q identify univocally, and label the vacua appearing in the foliation process of the quantum vacuum. This means that, in the framework of Universal Coalgebra, as general theory of dynamic and computing systems ("labelled state-transition systems"), the so labelled infinitely many quantum vacua can be interpreted as the Final Coalgebra of an "Infinite State Black-Box Machine". All this opens the way to the possibility of designing a new class of universal quantum computing architectures based on this coalgebraic QFT formulation, as its ability of naturally generating a Fibonacci progression demonstrates.',Computer-Science
"Women are vastly underrepresented in the fields of computer science and engineering (CS&E). We examined whether women might view the intellectual characteristics of prototypical individuals in CS&E in more stereotype-consistent ways than men might and, consequently, show less interest in CS&E. We asked 269 U.S. college students (187, 69.5% women) to describe the prototypical computer scientist (Study 1) or engineer (Study 2) through open-ended descriptions as well as through a set of trait ratings. Participants also rated themselves on the same set of traits and rated their similarity to the prototype. Finally, participants in both studies were asked to describe their likelihood of pursuing future college courses and careers in computer science (Study 1) or engineering (Study 2). Across both studies, we found that women offered more stereotype-consistent ratings than did men of the intellectual characteristics of prototypes in CS (Study 1) and engineering (Study 2). Women also perceived themselves as less similar to the prototype than men did. Further, the observed gender differences in prototype perceptions mediated the tendency for women to report lower interest in CS&E fields relative to men. Our work highlights the importance of prototype perceptions for understanding the gender gap in CS&E and suggests avenues for interventions that may increase women's representation in these vital fields.",Computer-Science
"The University of Pittsburgh's Department of Biomedical Informatics and Division of Pathology Informatics created a Science, Technology, Engineering, and Mathematics (STEM) pipeline in 2011 dedicated to providing cutting-edge informatics research and career preparatory experiences to a diverse group of highly motivated high-school students. In this third editorial installment describing the program, we provide a brief overview of the pipeline, report on achievements of the past scholars, and present results from self-reported assessments by the 2015 cohort of scholars. The pipeline continues to expand with the 2015 addition of the innovation internship, and the introduction of a program in 2016 aimed at offering first-time research experiences to undergraduates who are underrepresented in pathology and biomedical informatics. Achievements of program scholars include authorship of journal articles, symposium and summit presentations, and attendance at top 25 universities. All of our alumni matriculated into higher education and 90% remain in STEM majors. The 2015 high-school program had ten participating scholars who self-reported gains in confidence in their research abilities and understanding of what it means to be a scientist.",Computer-Science
"A century ago, the Welch-Rose Report established a public health education system in the United States. Since then, the system has evolved to address emerging health needs and integrate new technologies. Today, personalized health technologies generate large amounts of data. Emerging computer science techniques, such as machine learning, present an opportunity to extract insights from these data that could help identify high-risk individuals and tailor health interventions and recommendations. As these technologies play a larger role in health promotion, collaboration between the public health and technology communities will become the norm. Offering public health trainees coursework in computer science alongside traditional public health disciplines will facilitate this evolution, improving public health's capacity to harness these technologies to improve population health.",Computer-Science
"Chromosome conformation capture techniques are producing a huge amount of data about the architecture of our genome. These data can provide us with a better understanding of the events that induce critical regulations of the cellular function from small changes in the three-dimensional genome architecture. Generating a unified view of spatial, temporal, genetic and epigenetic properties poses various challenges of data analysis, visualization, integration and mining, as well as of high performance computing and big data management. Here, we describe the critical issues of this new branch of bioinformatics, oriented at the comprehension of the three-dimensional genome architecture, which we call 'Nucleome Bioinformatics', looking beyond the currently available tools and methods, and highlight yet unaddressed challenges and the potential approaches that could be applied for tackling them. Our review provides a map for researchers interested in using computer science for studying 'Nucleome Bioinformatics', to achieve a better understanding of the biological processes that occur inside the nucleus.",Computer-Science
'Food quality, safety and authenticity are important issues for consumers, governments, as well as the food industry. In the last decade, several researchers have attempted to go beyond traditional microbiological, DNA-based and other methods using rapid techniques. This broad term involves a variety of sensors such as hyperspectral and multispectral imaging, vibrational spectroscopy, as well as biomimetic receptors.The resulting data acquired from the above-mentioned sensors require the application of various case-specific data analysis methods for the purpose of simple understanding and visualization of the acquired high-dimensional dataset, but also for classification and prediction purposes.It is evident that rapid techniques coupled with data analysis methods have given promising results in several food products with various sensors. Additionally there are several applications, new sensors and new algorithms that remain to be explored and validated in the future.',Computer-Science
'With active screening for early detection and advancements in treatment, there has been a significant decrease in mortality from breast cancer. However, a significant proportion of patients with non-metastatic breast cancer at time of diagnosis will relapse. Therefore, it is suggested that the dissemination of bloodstream tumor cells (circulating tumor cells, CTCs) undetectable by currently available diagnostic tools occurs during the early stages of breast cancer progression, and may be the potential source of micrometastases responsible for treatment failures. Here, we review the clinical significance of CTCs, as detected by the FDA-approved CellSearch® System, in both metastatic and non-metastatic breast cancer patients. Studies so far suggest that CTCs are prognostic of poorer outcomes in breast cancer patients; however, there is currently insufficient data to support use of CTC data to guide treatment. Therefore, there are ongoing studies to evaluate the utility of assessing CTC phenotypes to develop personalized breast cancer treatment, which will be reviewed in this chapter.',Breast-Cancer
"This article is the American Cancer Society's biennial update on female breast cancer statistics in the United States, including data on incidence, mortality, survival, and screening. Over the most recent 5-year period (2012-2016), the breast cancer incidence rate increased slightly by 0.3% per year, largely because of rising rates of local stage and hormone receptor-positive disease. In contrast, the breast cancer death rate continues to decline, dropping 40% from 1989 to 2017 and translating to 375,900 breast cancer deaths averted. Notably, the pace of the decline has slowed from an annual decrease of 1.9% during 1998 through 2011 to 1.3% during 2011 through 2017, largely driven by the trend in white women. Consequently, the black-white disparity in breast cancer mortality has remained stable since 2011 after widening over the past 3 decades. Nevertheless, the death rate remains 40% higher in blacks (28.4 vs 20.3 deaths per 100,000) despite a lower incidence rate (126.7 vs 130.8); this disparity is magnified among black women aged <50 years, who have a death rate double that of whites. In the most recent 5-year period (2013-2017), the death rate declined in Hispanics (2.1% per year), blacks (1.5%), whites (1.0%), and Asians/Pacific Islanders (0.8%) but was stable in American Indians/Alaska Natives. However, by state, breast cancer mortality rates are no longer declining in Nebraska overall; in Colorado and Wisconsin in black women; and in Nebraska, Texas, and Virginia in white women. Breast cancer was the leading cause of cancer death in women (surpassing lung cancer) in four Southern and two Midwestern states among blacks and in Utah among whites during 2016-2017. Declines in breast cancer mortality could be accelerated by expanding access to high-quality prevention, early detection, and treatment services to all women.",Breast-Cancer
'BACKGROUND:Previous gene-environment interaction studies of breast cancer risk have provided sparse evidence of interactions. Using the largest available dataset to date, we performed a comprehensive assessment of potential effect modification of 205 common susceptibility variants by 13 established breast cancer risk factors, including replication of previously reported interactions. METHODS:Analyses were performed using 28 176 cases and 32 209 controls genotyped with iCOGS array and 44 109 cases and 48 145 controls genotyped using OncoArray from the Breast Cancer Association Consortium (BCAC). Gene-environment interactions were assessed using unconditional logistic regression and likelihood ratio tests for breast cancer risk overall and by estrogen-receptor (ER) status. Bayesian false discovery probability was used to assess the noteworthiness of the meta-analysed array-specific interactions. RESULTS:Noteworthy evidence of interaction at ≤1% prior probability was observed for three single nucleotide polymorphism (SNP)-risk factor pairs. SNP rs4442975 was associated with a greater reduction of risk of ER-positive breast cancer [odds ratio (OR)int = 0.85 (0.78-0.93), Pint = 2.8 x 10-4] and overall breast cancer [ORint = 0.85 (0.78-0.92), Pint = 7.4 x 10-5) in current users of estrogen-progesterone therapy compared with non-users. This finding was supported by replication using OncoArray data of the previously reported interaction between rs13387042 (r2 = 0.93 with rs4442975) and current estrogen-progesterone therapy for overall disease (Pint = 0.004). The two other interactions suggested stronger associations between SNP rs6596100 and ER-negative breast cancer with increasing parity and younger age at first birth. CONCLUSIONS:Overall, our study does not suggest strong effect modification of common breast cancer susceptibility variants by established risk factors.',Breast-Cancer
'BACKGROUND:Distinctions in the etiology of triple-negative versus luminal breast cancer have become well established using immunohistochemical surrogates [notably estrogen receptor (ER), progesterone receptor (PR), and human epidermal growth factor receptor 2 (HER2)]. However, it is unclear whether established immunohistochemical subtypes are the sole or definitive means of etiologically subdividing breast cancers. METHODS:We evaluated clinical biomarkers and tumor suppressor p53 with risk factor data from cases and controls in the Carolina Breast Cancer Study, a population-based study of incident breast cancers. For each individual marker and combinations of markers, we calculated an aggregate measure to distinguish the etiologic heterogeneity of different classification schema. To compare schema, we estimated subtype-specific case-control odds ratios for individual risk factors and fit age-at-incidence curves with two-component mixture models. We also evaluated subtype concordance of metachronous contralateral breast tumors in the California Cancer Registry. RESULTS:ER was the biomarker that individually explained the greatest variability in risk factor profiles. However, further subdivision by p53 significantly increased the degree of etiologic heterogeneity. Age at diagnosis, nulliparity, and race were heterogeneously associated with ER/p53 subtypes. The ER-/p53+ subtype exhibited a similar risk factor profile and age-at-incidence distribution to the triple-negative subtype. CONCLUSIONS:Clinical marker-based intrinsic subtypes have established value, yet other schema may also yield important etiologic insights. IMPACT:Novel environmental or genetic risk factors may be identifiable by considering different etiologic schema, including cross-classification based on ER/p53.',Breast-Cancer
'The human microbiome plays an integral role in physiology, with most microbes considered benign or beneficial. However, some microbes are known to be detrimental to human health, including organisms linked to cancers and other diseases characterized by aberrant inflammation. Dysbiosis, a state of microbial imbalance with harmful bacteria species outcompeting benign bacteria, can lead to maladies including cancer. The microbial composition varies across body sites, with the gut, urogenital, and skin microbiomes particularly well characterized. However, the microbiome associated with normal breast tissue and breast diseases is poorly understood. Collectively, studies have shown that breast tissue has a distinct microbiome with particular species enriched in the breast tissue itself, as well as the nipple aspirate and gut bacteria of women with breast cancer. More importantly, the breast and associated microbiomes may modulate therapeutic response and serve as potential biomarkers for diagnosing and staging breast cancer.',Breast-Cancer
'OBJECTIVE:To evaluate the frequency of neoadjuvant therapy (NT) in women with stage I-III breast cancer in Italy and whether it is influenced by biological characteristics, screening history, and geographic area. METHODS:Data from the High Resolution Study conducted in 7 Italian cancer registries were used; they are a representative sample of incident cancers in the study period (2009-2013). Included were 3546 women aged <85 years (groups <50, 50-69, 70-64, and 75+) with stage I-III breast cancer at diagnosis who underwent surgery. Women were classified as receiving NT if they received chemotherapy, target therapy, and/or hormone therapy before the first surgical treatment. Logistic models were built to test the association with biological and contextual variables. RESULTS:Only 8.2% of women (290 cases) underwent NT; the treatment decreases with increasing age (14.5% in age <50 and 2.2% in age 75+), is more frequent in women with negative receptors (14.8%), HER2-positive (15.7%), and triple-negative (15.6%). The multivariable analysis showed the probability of receiving NT is higher in stage III (odds ratio [OR] 3.83; 95% confidence interval [CI] 2.83-5.18), luminal B (OR 1.87; 95% CI 1.27-2.76), triple-negatives (OR 1.88; 95% CI 1.15-3.08), and in symptomatic cancers (OR 1.98; 95% CI 1.13-3.48). Use of NT varied among geographic areas: Reggio Emilia had the highest rates (OR 2.29; 95% CI 1.37-3.82) while Palermo had the lowest (OR 0.41; 95% CI 0.24-0.68). CONCLUSIONS:The use of NT in Italy is limited and variable. There are no signs of greater use in hospitals with more advanced care.',Breast-Cancer
'MicroRNAs (miRNAs) are small non-coding RNA molecules which function as critical post-transcriptional gene regulators of various biological functions. Generally, miRNAs negatively regulate gene expression by binding to their selective messenger RNAs (mRNAs), thereby leading to either mRNA degradation or translational repression, depending on the degree of complementarity with target mRNA sequences. Aberrant expression of these miRNAs has been linked etiologically with various human diseases including breast cancer. Different cellular pathways of breast cancer development such as cell proliferation, apoptotic response, metastasis, cancer recurrence and chemoresistance are regulated by either the oncogenic miRNA (oncomiR) or tumor suppressor miRNA (tsmiR). In this review, we highlight the current state of research into miRNA involved in breast cancer, with particular attention to articles published between the years 2000 to 2019, using detailed searches of the databases PubMed, Google Scholar, and Scopus. The post-transcriptional gene regulatory roles of various dysregulated miRNAs in breast cancer and their potential as therapeutic targets are also discussed.',Breast-Cancer
'Many women fear the risk of developing breast cancer, and some women have increased fear because of their family history. Thankfully, the study of genetics has brought forth tools to better identify women at risk. An understanding of genetics and cancer has led to genetic testing protocols which enable at-risk women to take preventative action through medication, surgery, and intensive screenings. These protocols not only have the potential to prevent cancer but also lead to early detection. Appropriate screening for women at risk for genetic breast cancer is essential for patient care. These screenings include specific risk assessment tests, genetic counseling, and genetic testing. To provide the best possible care for patients, providers must have a basic understanding of cancer, genetics, screening tests, genetic testing, and available prevention measures.',Breast-Cancer
'Introduction: Pertuzumab, a humanized monoclonal antibody that binds the human epidermal growth factor receptor 2 (HER2), inhibits the heterodimerization of HER2 with other HER receptors. It has been approved both by the Food and Drug Administration and the European Medicine Agency in the metastatic, neoadjuvant and adjuvant setting. Areas covered: This review analyses and discusses preclinical and clinical studies of pertuzumab in breast cancer. In this article, we review the status of pertuzumab, the completed and ongoing trials, and its safety. Expert opinion: Pertuzumab is a key drug for the treatment of HER2-positive metastatic or early breast cancer. However, it is imperative to identify patients that will need dual-targeting and mechanisms of resistance. Moreover, the value of pertuzumab beyond progression needs to be evaluated.',Breast-Cancer
'BACKGROUND:Breast cancer is the most common cancer in women worldwide. Considerable funding and efforts are invested in breast cancer research and healthcare, but only a fraction of this reaches women and healthcare systems in low income countries. Surgical treatment is an essential part of breast cancer care, but access to surgery is in general very limited in low income countries such as Uganda. In this study, the previously unknown nationwide rate of breast cancer surgery was investigated. METHODS AND FINDINGS:This was a multicenter, retrospective study, investigating breast cancer surgery in the public healthcare system in Uganda. Data were collected from operating theater registries at primary, secondary and tertiary level healthcare centres throught the country, including 14 general hospitals, the 14 regional referral hospitals and the national referral hospital. Patients who underwent major surgery for breast cancer at these hospitals during 2013 and 2014 were included. The number of breast cancer procedures performed, geographical variation, level of healthcare staff performing surgery and patient characteristics were investigated. After correction for missing data, a total of 137 breast cancer procedures were performed each year within the public healthcare system, corresponding to 5.7% of the breast cancer incidence in the country at that time. Most procedures (n = 161, 59.0%) were performed at the national referral hospital by qualified surgeons. Many of the patients were young; 30.1% being less than 40 years old. The proportion of male breast cancers in the study was large (6.2%). CONCLUSIONS:The rate of breast cancer surgery in Uganda is minimal and in several parts of the country breast cancer surgery is not performed at all. More resources must be directed towards breast cancer in low income countries such as Uganda. The fact that the patients were young calls for further research, prevention and treatment specifically targeting young women in the study setting.',Breast-Cancer
'During tumorigenesis, breast tumour cells undergo metabolic reprogramming, which generally includes enhanced glycolysis, tricarboxylic acid cycle activity, glutaminolysis and fatty acid biosynthesis. However, the extension and functional importance of these metabolic alterations may diverge not only according to breast cancer subtypes, but also depending on the interaction of cancer cells with the complex surrounding microenvironment. This microenvironment comprises a variety of non-cancerous cells, such as immune cells (e.g. macrophages, lymphocytes, natural killer cells), fibroblasts, adipocytes and endothelial cells, together with extracellular matrix components and soluble factors, which influence cancer progression and are predictive of clinical outcome. The continuous interaction between cancer and stromal cells results in metabolic competition and symbiosis, with oncogenic-driven metabolic reprogramming of cancer cells shaping the metabolism of neighbouring cells and vice versa. This review addresses current knowledge on this metabolic crosstalk within the breast tumour microenvironment (TME). Improved understanding of how metabolism in the TME modulates cancer development and evasion of tumour-suppressive mechanisms may provide clues for novel anticancer therapeutics directed to metabolic targets.',Breast-Cancer
'Inflammation is now recognized as a hallmark of cancer. Genetic changes in the cancer cell are accepted as the match that lights the fire, whilst inflammation is seen as the fuel that feeds the fire. Once inside the tumour, the immune cells secrete cytokines that kick-start angiogenesis to ferry in much-needed oxygen and nutrients that encourage the growth of tumours. There is now irrefutable data demonstrating that the immune contexture of breast tumours can influence growth and metastasis. A higher immune cell count in invasive breast cancer predicts prognosis and response to chemotherapy. We are beginning now to define the specific innate and adaptive immune cells present in breast cancer and their role not just in the progression of invasive disease, but also in the development of pre-invasive lesions and their transition to malignant tumours. This review article focusses on the immune cells present in early stage breast cancer and their relationship with the immunoediting process involved in tumour advancement.',Breast-Cancer
'Using for-presentation and for-processing digital mammograms, the presence of microcalcifications has been shown to be associated with short-term risk of breast cancer. In a previous article we developed an algorithm for microcalcification cluster detection from for-presentation digital mammograms. Here, we focus on digitised mammograms and use a three-step algorithm. In total, 253 incident invasive breast cancer cases (with a negative mammogram between three months and two years before diagnosis, from which we measured microcalcifications) and 728 controls (also with prior mammograms) were included in a short-term risk study. After adjusting for potential confounding variables, we found evidence of an association between the number of microcalcification clusters and short-term (within 3-24 months) invasive breast cancer risk (per cluster OR = 1.30, 95% CI = (1.11, 1.53)). Using the 728 postmenopausal healthy controls, we also examined association of microcalcification clusters with reproductive factors and other established breast cancer risk factors. Age was positively associated with the presence of microcalcification clusters (p = 4 × 10-04). Of ten other risk factors that we studied, life time breastfeeding duration had the strongest evidence of association with the presence of microcalcifications (positively associated, unadjusted p = 0.001). Developing algorithms, such as ours, which can be applied on both digitised and digital mammograms (in particular for presentation images), is important because large epidemiological studies, for deriving markers of (clinical) risk prediction of breast cancer and prognosis, can be based on images from these different formats.',Breast-Cancer
'Breast cancer affects millions of women worldwide, leading to many deaths and significant economic burden. Although there are numerous treatment options available, the huge potentials of immunotherapy in the management of localized and metastatic breast cancer is currently being explored. However, there are significant gaps in understanding the complex interactions between the immune system and breast cancer. The immune system can be pro-tumorigenic and anti-tumorigenic depending on the cells involved and the conditions of the tumor microenvironment. In this review, we discuss current knowledge of breast cancer, including treatment options. We also give a brief overview of the immune system and comprehensively highlight the roles of different cells of the immune system in breast tumorigenesis, including recent research discoveries. Lastly, we discuss some immunotherapeutic strategies for the management of breast cancer.',Breast-Cancer
'OBJECTIVE:To evaluate the clinical and pathological features of endometrial cancer (EC) following breast cancer and to assess the effect of the breast cancer hormone receptor status on subsequent EC. MATERIALS:A retrospective study based on SEER data of EC patients with a history of breast cancer. RESULTS:A total of 2142 cases met the inclusion criteria. Compared to that of the general population, the incidence of EC following estrogen receptor-positive (ER+) breast cancer and hormone receptor-negative (HR-) breast cancer increased by approximately 16-fold and 15-fold, respectively. Histologically, the proportions of type II EC following ER+ breast cancer, HR- breast cancer and primary EC were 39.6%, 39.4% and 31.2%, respectively (P < 0.001). The proportions of G3 ECs were 26.9%, 28.2% and 19.8%, respectively (P < 0.001). The proportion of patients who died from miscellaneous malignant tumors among EC patients following breast cancer was significantly higher than the proportion of patients among primary ECs. The overall survival rate was worse for EC patients with a history of breast cancer (P < 0.001). There were no significant differences between patients with EC following ER+ breast cancer and those with EC following HR- breast cancer with regard to stage, lymphatic metastasis, outcome or cause of death. CONCLUSIONS:Compared to the general population, the incidence of EC in patients with breast cancer was increased markedly. Patients with EC following ER+ or HR- breast cancer shared the same clinicopathological features and prognoses. All patients need close monitoring regardless of breast cancer hormone receptor status.',Breast-Cancer
